"id";"code";"name";"image";"level";"lv1_code";"lv1_name";"lv2_code";"lv2_name";"pinyin";"remark";"sub_cats"
"130";"060202";"情趣用品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/9a78fd13-bf54-3264-984a-dfdd28832fb1_ori.jpg";"3";"06";"特殊品类";"0602";"成人用品";"060202teshupinleichengrenyongpinqingquyongpin";"润滑液等";""
"105";"030804";"抽纸";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/5a8fd839-b918-34d7-be5f-196aac81129e_ori.jpg";"3";"03";"日化清洁";"0308";"生活用纸";"030804rihuaqingjishenghuoyongzhichouzhi";"";""
"102";"030801";"卷筒纸";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/20d6c837-e159-30da-be36-2caa2ce229f8_ori.jpg";"3";"03";"日化清洁";"0308";"生活用纸";"030801rihuaqingjishenghuoyongzhijuantongzhi";"";""
"84";"020306";"调味糖类";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/0b04a52b-096f-30d7-9136-e101cbd758ce_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020306shipinleiliangyoudiaoweidiaoweitanglei";"白砂糖，冰糖，方糖等";""
"81";"020303";"调味酱类";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/4040d4ec-c988-32b4-8038-48d0ccb45e9e_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020303shipinleiliangyoudiaoweidiaoweijianglei";"酱油，醋，料酒，蚝油，调味酱，面包酱，沙拉酱，腐乳，番茄酱，火锅调料等";""
"73";"010403";"啤酒";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/cea24365-967f-31d3-abce-407280a828b7_ori.jpg";"3";"01";"饮品类";"0104";"酒类";"010403yinpinleijiuleipijiu";"";""
"72";"010402";"洋酒";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/eff77daf-3027-3fb1-ac83-9e8fbc371427_ori.jpg";"3";"01";"饮品类";"0104";"酒类";"010402yinpinleijiuleiyangjiu";"";""
"27";"010107";"功能饮料";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/f262436d-2056-3f33-8ec7-7eaf2e368fe2_ori.jpg";"3";"01";"饮品类";"0101";"饮料类";"010107yinpinleiyinliaoleigongnengyinliao";"";""
"21";"010101";"饮用水";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/7f348815-f50d-3e39-b3c3-87fb53e35659_ori.jpg";"3";"01";"饮品类";"0101";"饮料类";"010101yinpinleiyinliaoleiyinyongshui";"矿泉水，纯净水，蒸馏水，苏打水等";""
"18";"041802";"母婴用品";"";"3";"04";"生活百货";"0418";"家庭日用";"041802shenghuobaihuojiatingriyongmuyingyongpin";"奶瓶，奶嘴，围嘴，口水肩，哈衣，宝宝益智，宝宝玩具";""
"3";"0101";"饮料类";"";"2";"01";"饮品类";"";"";"0101yinpinleiyinliaolei";"";""
"25";"010105";"茶饮料";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/eda77602-41ee-35ff-9d47-b87c3dc3f5bd_ori.jpg";"3";"01";"饮品类";"0101";"饮料类";"010105yinpinleiyinliaoleichayinliao";"乌龙茶，大麦茶，绿茶，红茶，绿茶，茉莉花茶等各种即饮茶类";""
